trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
504,False,"{'a': 0.03, 'e': 0.010716185680953061}",25,11,19.478582671797817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.03, 'e': 0.01062017271625227}",20,3,29.997642221564604,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.03, 'e': 0.010525019991348101}",20,9,9.820535965700568,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
507,False,"{'a': 0.03, 'e': 0.01043071979881779}",30,10,33.450394003378065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.03, 'e': 0.010337264500294195}",20,12,16.113521435604166,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.03, 'e': 0.01024464652584705}",20,0,30.655305396545305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.03, 'e': 0.010152858373369763}",25,0,33.078206398778875,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
511,False,"{'a': 0.03, 'e': 0.01006189260797182}",20,16,8.878438577567529,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.03, 'e': 0.009971741861376466}",25,7,28.204915559373585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.03, 'e': 0.00988239883132395}",25,15,17.266610301289987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.03, 'e': 0.009793856280979996}",30,12,31.380625622255796,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.03, 'e': 0.009706107038349598}",25,3,38.54386028566585,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.03, 'e': 0.009619143995696142}",20,13,12.31149266718357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
